Distance [m]	1:  W(C)	2:  W(CR)	3:  W(FE)	4:  W(MN)	5:  W(N)	6:  W(SI)
0.00000	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00027	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00054	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00080	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00106	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00131	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00155	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00202	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00246	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00288	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00328	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00366	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00402	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00437	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00469	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00500	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00530	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00557	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00584	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00609	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00633	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00656	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00678	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00698	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00718	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00736	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00754	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00770	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00786	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00801	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00816	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00829	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00842	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00855	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00866	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00877	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00888	0.50000	1.40000	97.59000	0.30000	0.01000	0.20000
0.00898	0.50001	1.40000	97.58999	0.30000	0.01000	0.20000
0.00907	0.50007	1.40000	97.58993	0.30000	0.01000	0.20000
0.00916	0.50051	1.39999	97.58950	0.30000	0.01000	0.20000
0.00925	0.50232	1.39997	97.58772	0.29999	0.01000	0.20000
0.00933	0.50807	1.39989	97.58207	0.29998	0.01001	0.19998
0.00941	0.52249	1.39968	97.56790	0.29993	0.01004	0.19995
0.00948	0.55210	1.39927	97.53882	0.29984	0.01008	0.19990
0.00955	0.60288	1.39855	97.48895	0.29969	0.01014	0.19979
0.00962	0.67698	1.39751	97.41619	0.29947	0.01022	0.19964
0.00968	0.77091	1.39618	97.32392	0.29918	0.01034	0.19945
0.00974	0.87706	1.39468	97.21954	0.29886	0.01061	0.19924
0.00980	0.98696	1.39313	97.11119	0.29853	0.01117	0.19902
0.00985	1.09380	1.39161	97.00545	0.29820	0.01213	0.19880
0.00990	1.19334	1.39019	96.90645	0.29790	0.01352	0.19860
0.00995	1.28345	1.38890	96.81640	0.29762	0.01521	0.19842
0.01000	1.36367	1.38776	96.73593	0.29738	0.01701	0.19824
